xmin,xmax,ymin,ymax,label,name
39,569,116,375,14,00001.jpg
36,868,116,587,3,00002.jpg
85,601,109,381,91,00003.jpg
621,1484,393,1096,134,00004.jpg
14,133,36,99,106,00005.jpg
259,515,289,416,123,00006.jpg
88,541,80,397,89,00007.jpg
73,591,79,410,96,00008.jpg
20,1269,126,771,167,00009.jpg
21,623,110,367,58,00010.jpg
51,601,93,393,49,00011.jpg
6,499,62,286,186,00012.jpg
30,418,36,307,135,00013.jpg
31,778,246,540,85,00014.jpg
32,589,77,379,193,00015.jpg
27,611,49,396,172,00016.jpg
39,233,52,150,14,00017.jpg
3,190,8,147,73,00018.jpg
247,1366,287,761,192,00019.jpg
17,961,281,596,57,00020.jpg
17,695,156,375,79,00021.jpg
212,1893,538,1131,36,00022.jpg
11,476,28,234,120,00023.jpg
53,973,126,621,170,00024.jpg
34,567,87,343,194,00025.jpg
30,598,174,379,134,00026.jpg
80,606,107,336,184,00027.jpg
45,585,115,382,86,00028.jpg
28,1564,139,1126,180,00029.jpg
82,874,109,521,194,00030.jpg
55,446,318,564,154,00031.jpg
12,471,31,350,139,00032.jpg
34,1011,197,656,66,00033.jpg
37,614,63,397,133,00034.jpg
223,1111,87,670,154,00035.jpg
138,521,41,223,104,00036.jpg
31,616,87,344,38,00037.jpg
16,459,89,326,97,00038.jpg
53,614,113,350,105,00039.jpg
214,660,110,403,142,00040.jpg
61,566,55,408,13,00041.jpg
28,622,61,371,191,00042.jpg
22,588,39,362,119,00043.jpg
220,537,193,364,38,00044.jpg
12,489,108,297,186,00045.jpg
28,759,80,466,25,00046.jpg
84,1102,248,899,194,00047.jpg
142,753,69,451,177,00048.jpg
166,887,543,903,173,00049.jpg
20,564,96,341,42,00050.jpg
41,607,181,465,91,00051.jpg
39,774,29,395,148,00052.jpg
161,425,191,307,15,00053.jpg
58,1528,562,1081,97,00054.jpg
80,582,120,391,42,00055.jpg
32,472,48,267,53,00056.jpg
260,972,138,439,44,00057.jpg
11,256,35,173,65,00058.jpg
68,607,91,354,90,00059.jpg
129,345,120,269,124,00060.jpg
11,1011,104,742,114,00061.jpg
19,425,21,265,190,00062.jpg
175,928,330,647,101,00063.jpg
97,925,39,700,187,00064.jpg
63,417,175,320,8,00065.jpg
30,221,39,125,17,00066.jpg
129,594,89,432,111,00067.jpg
32,598,43,350,122,00068.jpg
142,675,124,445,5,00069.jpg
220,1054,313,976,29,00070.jpg
8,639,12,299,126,00071.jpg
92,1178,271,749,94,00072.jpg
15,314,12,230,106,00073.jpg
14,309,12,223,106,00074.jpg
45,522,74,253,188,00075.jpg
12,284,27,166,59,00076.jpg
25,3502,25,2017,110,00077.jpg
36,611,88,417,43,00078.jpg
165,749,126,425,133,00079.jpg
20,292,21,217,111,00080.jpg
10,540,55,271,8,00081.jpg
63,597,113,413,192,00082.jpg
55,294,48,205,18,00083.jpg
27,620,67,474,116,00084.jpg
15,629,80,402,49,00085.jpg
119,1416,300,871,145,00086.jpg
17,455,36,215,49,00087.jpg
171,2373,176,1751,170,00088.jpg
49,1003,195,617,20,00089.jpg
5,296,43,211,114,00090.jpg
49,494,57,419,165,00091.jpg
101,492,84,272,138,00092.jpg
23,258,53,144,175,00093.jpg
